codigo_producto,fecha,hora,cantidad_vendida,precio,canal,promocion
PROD006,2025-08-22,08:14,20,101.11,telefono,sin_promocion
PROD002,2025-08-22,09:43,10,89.09,tienda,sin_promocion
PROD002,2025-08-22,10:32,10,86.73,tienda,sin_promocion
PROD012,2025-08-22,10:34,10,190.87,online,sin_promocion
PROD004,2025-08-22,10:55,10,165.64,tienda,sin_promocion
PROD014,2025-08-22,11:16,20,45.25,tienda,sin_promocion
PROD005,2025-08-22,11:29,10,341.56,online,sin_promocion
PROD003,2025-08-22,11:46,10,218.21,tienda,sin_promocion
PROD012,2025-08-22,12:55,10,179.39,telefono,sin_promocion
PROD012,2025-08-22,13:07,10,167.77,tienda,15%_desc
PROD008,2025-08-22,13:24,80,132.49,tienda,sin_promocion
PROD002,2025-08-22,13:37,60,81.23,online,sin_promocion
PROD014,2025-08-22,14:52,20,41.12,telefono,sin_promocion
PROD005,2025-08-22,15:44,1,380.57,tienda,sin_promocion
PROD013,2025-08-22,15:56,3,416.88,telefono,sin_promocion
PROD002,2025-08-22,16:09,2,80.16,telefono,combo
PROD006,2025-08-22,16:13,1,97.95,tienda,sin_promocion
PROD007,2025-08-22,16:47,2,66.1,online,sin_promocion
PROD004,2025-08-22,17:36,1,168.92,tienda,sin_promocion
PROD007,2025-08-22,18:05,1,68.33,online,sin_promocion
PROD012,2025-08-23,07:27,1,161.96,tienda,sin_promocion
PROD008,2025-08-23,08:04,3,130.98,tienda,15%_desc
PROD015,2025-08-23,08:16,6,54.53,tienda,sin_promocion
PROD007,2025-08-23,08:25,1,60.06,online,sin_promocion
PROD002,2025-08-23,09:03,1,83.34,tienda,sin_promocion
PROD001,2025-08-23,09:46,1,163.07,tienda,sin_promocion
PROD011,2025-08-23,09:56,2,481.97,tienda,10%_desc
PROD001,2025-08-23,10:06,1,137.91,tienda,sin_promocion
PROD013,2025-08-23,10:17,1,354.1,telefono,sin_promocion
PROD015,2025-08-23,10:49,6,57.35,tienda,sin_promocion
PROD002,2025-08-23,11:03,1,87.59,tienda,2x1
PROD007,2025-08-23,11:03,1,70.99,tienda,sin_promocion
PROD001,2025-08-23,11:04,1,162.16,online,10%_desc
PROD015,2025-08-23,11:07,2,64.52,tienda,sin_promocion
PROD013,2025-08-23,11:11,1,397.98,tienda,sin_promocion
PROD012,2025-08-23,12:13,1,181.37,telefono,sin_promocion
PROD001,2025-08-23,12:42,3,154.5,tienda,sin_promocion
PROD013,2025-08-23,12:59,2,412.67,online,sin_promocion
PROD006,2025-08-23,13:44,2,103.69,online,sin_promocion
PROD008,2025-08-23,13:59,1,123.78,telefono,sin_promocion
PROD006,2025-08-23,14:13,1,103.91,tienda,sin_promocion
PROD015,2025-08-23,14:22,4,62.74,tienda,sin_promocion
PROD012,2025-08-23,14:35,1,182.2,tienda,10%_desc
PROD012,2025-08-23,14:53,1,167.18,tienda,sin_promocion
PROD001,2025-08-23,15:01,1,152.65,tienda,sin_promocion
PROD002,2025-08-23,15:08,2,83.67,tienda,sin_promocion
PROD014,2025-08-23,15:22,7,43.25,telefono,sin_promocion
PROD008,2025-08-23,15:29,1,125.22,telefono,combo
PROD005,2025-08-23,15:57,8,319.1,tienda,sin_promocion
PROD011,2025-08-23,17:13,1,539.5,online,sin_promocion
PROD011,2025-08-23,17:39,1,570.32,telefono,sin_promocion
PROD004,2025-08-24,08:32,8,179.03,online,sin_promocion
PROD003,2025-08-24,09:19,1,210.62,tienda,sin_promocion
PROD006,2025-08-24,09:58,1,101.62,tienda,sin_promocion
PROD005,2025-08-24,10:02,6,332.14,tienda,sin_promocion
PROD010,2025-08-24,10:14,1,195.32,tienda,sin_promocion
PROD009,2025-08-24,10:17,6,444.59,telefono,sin_promocion
PROD013,2025-08-24,10:39,1,382.59,online,sin_promocion
PROD010,2025-08-24,10:54,1,215.23,tienda,sin_promocion
PROD005,2025-08-24,11:45,1,363.74,tienda,sin_promocion
PROD002,2025-08-24,12:23,1,83.83,online,sin_promocion
PROD006,2025-08-24,12:49,1,93.58,tienda,sin_promocion
PROD015,2025-08-24,13:16,3,64.02,tienda,sin_promocion
PROD015,2025-08-24,13:41,1,54.82,online,2x1
PROD003,2025-08-24,14:32,2,211.61,tienda,sin_promocion
PROD007,2025-08-24,14:39,1,69.1,online,sin_promocion
PROD005,2025-08-24,15:05,7,372.29,telefono,sin_promocion
PROD014,2025-08-24,15:11,2,40.95,tienda,sin_promocion
PROD010,2025-08-24,15:26,1,182.49,telefono,sin_promocion
PROD003,2025-08-24,15:42,1,239.38,telefono,sin_promocion
PROD012,2025-08-24,16:31,1,158.52,tienda,sin_promocion
PROD009,2025-08-24,17:16,1,472.66,telefono,sin_promocion
PROD012,2025-08-24,17:34,2,183.66,tienda,sin_promocion
PROD014,2025-08-25,07:49,1,45.2,tienda,sin_promocion
PROD010,2025-08-25,08:07,1,208.85,tienda,sin_promocion
PROD013,2025-08-25,09:17,1,345.46,tienda,sin_promocion
PROD002,2025-08-25,09:38,7,86.82,telefono,10%_desc
PROD014,2025-08-25,10:16,1,46.44,tienda,sin_promocion
PROD002,2025-08-25,10:30,1,87.88,tienda,sin_promocion
PROD015,2025-08-25,10:34,1,56.7,tienda,sin_promocion
PROD015,2025-08-25,10:59,3,57.17,telefono,sin_promocion
PROD004,2025-08-25,11:27,6,196.59,tienda,sin_promocion
PROD014,2025-08-25,11:36,10,46.09,tienda,sin_promocion
PROD006,2025-08-25,11:39,1,100.86,tienda,sin_promocion
PROD013,2025-08-25,13:06,1,405.28,tienda,sin_promocion
PROD008,2025-08-25,13:30,1,131.39,tienda,sin_promocion
PROD007,2025-08-25,13:35,1,58.63,online,combo
PROD013,2025-08-25,14:06,1,408.33,tienda,sin_promocion
PROD004,2025-08-25,14:42,1,175.34,tienda,sin_promocion
PROD004,2025-08-25,14:54,1,186.63,telefono,sin_promocion
PROD014,2025-08-25,15:07,1,47.9,tienda,2x1
PROD015,2025-08-25,15:18,1,54.39,tienda,sin_promocion
PROD006,2025-08-25,15:20,3,101.68,telefono,combo
PROD004,2025-08-25,15:25,2,195.89,tienda,sin_promocion
PROD015,2025-08-25,15:38,1,62.99,tienda,sin_promocion
PROD007,2025-08-25,15:41,6,67.75,tienda,15%_desc
PROD015,2025-08-25,16:17,3,60.01,tienda,2x1
PROD006,2025-08-25,16:21,3,86.05,online,sin_promocion
PROD014,2025-08-25,17:05,1,49.45,tienda,sin_promocion
PROD005,2025-08-26,07:01,1,383.12,tienda,sin_promocion
PROD011,2025-08-26,07:31,3,568.34,tienda,sin_promocion
PROD012,2025-08-26,07:40,1,181.45,tienda,sin_promocion
PROD015,2025-08-26,08:24,1,60.86,tienda,sin_promocion
